Stop,Community,Postcode,Start,End,Route,Date,Day,Frequency,Timetable
Lower Holworthy,Brompton Regis,TA22 9NY,9:40,9:55,A,10/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Wimbleball Lake,Brompton Regis,TA22 9NU,10:05,10:20,A,10/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
George Inn,Brompton Regis,TA22 9NL,10:30,10:50,A,10/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Combeshead,Brompton Regis,TA22 9LE,11:00,11:15,A,10/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Week Lane,Bridgetown (Exe Valley),TA22 9JN,11:25,11:45,A,10/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Hawthorn Bungalow,Withypool,TA24 7QY,12:05,12:25,A,10/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Winsford Centre,Winsford,TA24 7JQ,12:40,13:10,A,10/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Watchet Childrenâ€™s Centre,Watchet,TA23 0EX,13:50,14:10,A,10/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
School Lane Playgroup,Templecombe,BA8 0HP,10:15,10:30,B,11/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
North Road,Charlton Horethorne,DT9 4NS,10:45,11:05,B,11/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
South Barrow Church,South Barrow,BA22 7LN,11:20,11:40,B,11/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Road to Rimpton House,Rimpton,BA22 8AQ,12:00,12:30,B,11/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Hales Meadow,Mudford,BA21 5TA,13:15,13:30,B,11/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Fore Street Middle Farmhouse,West Camel,BA22 7QW,13:45,14:05,B,11/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Ilchester Car park,Ilchester,BA22 8LX,14:25,14:55,B,11/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Ilchester School,Ilchester,BA22 8JP,15:00,15:25,B,11/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Barton Road Fairmile,Butleigh,BA6 8TH,9:45,10:00,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Butleigh School,Butleigh,BA6 8SX,10:05,10:35,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Greyhound Inn,Baltonsborough,BA6 8QN,10:55,11:05,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Baltonsborough Playgroup,Baltonsborough,BA6 8PN,11:10,11:30,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Baltonsborough School,Baltonsborough,BA6 8PN,11:30,12:00,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Middle Farm,Southwood,BA6 8PG,12:40,12:55,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Main Street (Telephone box),Barton St David,TA11 6BX,13:05,13:25,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Queen Street Layby,Keinton Mandeville,TA11 6EH,13:35,13:50,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Baker Street (Bus shelter),Babcary,TA11 7DU,14:00,14:15,C,12/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Timberscombe School & Playgroup,Timberscombe,TA24 7TY,10:00,10:30,D,13/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Cutcombe School,Cutcombe,TA24 7DZ,10:45,11:15,D,13/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Higher Park Lane,Cutcombe,TA24 7AG,11:25,11:45,D,13/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Exford School,Exford,TA24 7PP,12:00,12:30,D,13/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Exford Centre,Exford,TA24 7PU,13:10,13:30,D,13/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Blagdon View,Wheddon Cross,TA24 7ED,13:40,14:00,D,13/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Nine Barrows Corner,Priddy,BA5 3BH,10:00,10:30,E,16/01/2016,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Priddy School Playgroup,Priddy,BA5 3BE,10:35,10:55,E,16/01/2016,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
West Horrington School,West Horrington,BA5 3EB,11:15,12:00,E,16/01/2016,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Central Car Park,Wedmore,BS28 4AN,13:10,14:10,E,16/01/2016,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Little Owls (Childcare),Wedmore,BS28 4SA,14:15,14:30,E,16/01/2016,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Honeycombe House,Bagley,BS28 4TD,14:40,15:00,E,16/01/2016,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Westham Farm,Westham,BS28 4UR,15:15,15:30,E,16/01/2016,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Appley Pavilion Playgroup,Stawley,TA21 0HH,10:00,10:20,F,17/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Blackwell Farm,Raddington,TA4 2QN,10:45,11:00,F,17/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Roborough,Upton,TA4 2JD,11:15,11:30,F,17/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Glebe Farm,Tolland,TA4 3PR,11:50,12:05,F,17/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Old Post Office,Lydeard St Lawrence,TA4 3SB,12:15,12:30,F,17/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Lydeard St Lawrence School,Lydeard St Lawrence,TA4 3SF,13:10,13:40,F,17/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Cotford St Luke School,Cotford St Luke,TA4 1JD,13:55,14:25,F,17/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Hillfarance Church,Hillfarance,TA4 1AW,14:35,14:5,F,17/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Amberley,Blagdon,TA3 7SG,9:30,9:45,G,18/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Pear Tree Cottage,Churchstanton,TA3 7QB,10:00,10:20,G,18/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Churchinford Village Hall & Playgroup,Churchinford,TA3 7RG,10:30,11:15,G,18/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Tatworth Memorial Hall,Tatworth,TA20 2QA,11:45,12:15,G,18/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Davies Close,Winsham,TA20 4JL,13:00,13:20,G,18/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Winsham School & Bell Inn,Winsham,TA20 4HU,13:25,14:05,G,18/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Higher Chillington,Chillington,TA19 0PT,14:20,14:40,G,18/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Brook Street,Cannington,TA5 2HP,9:35,9:55,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Otterhampton School,Combwich,TA5 2QS,10:05,10:50,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Harbour,Combwich,TA5 2QU,10:55,11:15,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Combwich Post Office,Combwich,TA5 2QW,11:20,11:40,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Captains,Stockland Bristol,TA5 2PY,11:50,12:05,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Shurton Inn,Shurton,TA5 1QE,12:20,12:50,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Greyhound Inn,Stogursey,TA5 1QR,13:30,14:00,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Town Close (No 30),Stogursey,TA5 1RN,14:05,14:35,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Hill Top,Kilve,TA5 1SR,14:55,15:15,H,19/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Gaunts Road,Pawlett,TA6 4SF,9:30,9:45,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Brent Knoll Post Office,Brent Knoll,TA9 4DT,10:05,10:50,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
War Memorial,Lympsham,BS24 0DS,11:00,11:20,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
East Drive (off Strowlands),East Brent,TA9 4JQ,11:30,12:00,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Little Acre,Rooksbridge,BS26 2UG,12:10,12:30,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Yew Tree Nursery,Biddisham,BS26 2SA,13:10,13:25,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Old School,Badgworth,BS26 2RH,13:30,13:45,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Turnpike Road (Pre School),Shipham,BS25 1TX,14:00,14:30,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
May Tree Farm,Stone Allerton,BS26 2NJ,14:50,15:10,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Front Street (Bus shelter),Chapel Allerton,BS26 2PB,15:15,15:30,I,20/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Merriott School,Merriott,TA16 5PT,9:30,10:00,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
West Chinnock School,West Chinnock,TA18 7PT,10:10,10:40,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Weston Street Playgroup,East Chinnock,BA22 9EQ,10:50,11:20,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Westbury Gardens,Odcombe,BA22 8UR,11:35,11:55,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Hill End,Hardington Mandeville,BA22 9PY,12:10,12:25,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Helyar Arms,East Coker,BA22 9JR,12:40,12:55,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Telephone Box Playgroup,Milton,TA12 6AL,14:00,14:15,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Chiselborough Village Hall,Chiselborough,TA14 6TR,14:35,15:25,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Higher Street Pippins,Norton Sub Hamdon,TA14 6SN,15:35,15:55,J,24/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Fire Engine,Benter,BA3 5BJ,10:00,10:15,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Stockhill Road No 70,Chilcompton,BA3 4JH,10:25,10:40,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Red House Farm,Stratton-on-the-Fosse,BA3 4QE,10:50,11:15,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Bishop Henderson School,Coleford,BA3 5PN,11:25,12:05,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
British Legion Car park,Coleford,BA3 5PB,12:10,12:30,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Scotts Close,Holcombe,BA3 5DT,13:15,13:30,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Moonshill Road,Stoke St Michael,BA3 5LG,13:40,14:05,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Memorial Hall,Leigh upon Mendip,BA3 5QQ,14:15,14:40,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Bullen Mead,Chantry,BA11 3LG,14:50,15:05,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Market Place,Nunney,BA11 4LY,15:15,15:35,K,25/01/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Next Steps Childcare Centre,Shepton Mallet Showground,BA4 6QL,10:05,10:25,L,26/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
North Wootton Church,North Wootton,BA4 4HA,10:40,11:10,L,26/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Doulting School,Doulting,BA4 4PL,11:30,12:00,L,26/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Gartons Mead,Evercreech,BA4 6JH,12:50,13:20,L,26/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Wadehithe,East Lydford,TA11 7HD,13:40,13:55,L,26/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Old School,West Lydford,TA11 7DB,14:05,14:20,L,26/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Pound Close,Parbrook,BA6 8PA,14:35,14:50,L,26/01/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Station,Crowcombe Heathfield,TA4 4PA,9:30,9:50,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Crowcombe School,Crowcombe,TA4 4AA,10:00,10:30,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Stogumber School,Stogumber,TA4 3TQ,10:45,11:15,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Notley Arms,Monksilver,TA4 4JB,11:25,11:55,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Roadwater Church,Roadwater,TA23 0RB,12:10,12:30,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Rodhuish Farm,Rodhuish Higher,TA24 6QL,12:45,13:00,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Cheeky Cherubs Nursery,Alcombe,TA24 5EB,13:50,14:10,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Butlins Billy's All Stars Nursery,Minehead,TA24 5SH,14:20,14:45,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Blue Anchor Garage,Blue Anchor,TA24 6JZ,15:00,15:20,M,27/01/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Hemington School,Hemington,BA3 5XU,10:15,10:45,N,30/01/2017,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Tellisford Lane Estate,Norton St Philip,BA2 7LL,11:00,11:20,N,30/01/2017,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Marsh Road Pre school,Rode,BA11 6PB,11:30,11:45,N,30/01/2017,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
The Green,Rode,BA11 6PE,11:50,12:10,N,30/01/2017,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Seymour Arms,Witham Friary,BA11 5HF,13:15,13:30,N,30/01/2017,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Old Orchard layby,Penselwood,BA9 8NE,14:00,14:15,N,30/01/2017,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Elliscombe Park,Elliscombe,BA9 8EA,14:35,14:55,N,30/01/2017,Monday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Puriton Village Hall,Puriton,TA7 8BP,9:25,9:40,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Woolavington Village Hall,Woolavington,TA7 8DY,9:50,10:10,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Wellfield House,Catcott,TA7 9HT,10:25,10:45,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Cricket Club,Shapwick,TA7 9LN,10:55,11:15,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Ashcott School,Ashcott,TA7 9PP,11:25,11:55,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Middle Street,Ashcott,TA7 9QB,12:00,12:20,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Abbots Close,Meare,BA6 9TF,13:30,13:45,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Catcott Burtle,Burtle,TA7 8NB,14:00,14:20,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Holywell Road,Edington,TA7 9LD,14:30,14:50,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Church Lane,Chilton Polden,TA7 9DY,14:55,15:15,O,31/01/2017,Tuesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Leach's Field,Kingston St Mary,TA2 8JL,10:00,10:30,P,1/2/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Spaxton School,Spaxton,TA5 1BS,10:50,11:20,P,1/2/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Entrance to Halswell House,Goathurst,TA5 2DE,11:35,11:55,P,1/2/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Durston Village Hall,Durston,TA3 5AG,12:15,12:35,P,1/2/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Outwood Rd Station Post Box,Durston,TA3 5AJ,12:40,13:00,P,1/2/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Queens Square,North Curry,TA3 6JS,13:40,14:25,P,1/2/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Stoke Road,North Curry,TA3 6HW,14:30,14:45,P,1/2/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Stoke St Gregory Village Hall,Stoke St Gregory,TA3 6EG,14:55,15:25,P,1/2/2017,Wednesday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Creech St Michael Village Hall,Creech St Michael,TA3 5QQ,9:20,9:40,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Hatch Beauchamp Village Hall,Hatch Beauchamp,TA3 6SQ,9:55,10:20,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Neroche School,Broadway,TA19 9RG,10:35,11:15,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Merrifields,Ilton,TA19 9HA,11:30,11:45,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Ilton School,Ilton,TA19 9EX,11:50,12:15,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Isle Abbotts Village Hall,Isle Abbotts,TA3 6RR,12:30,12:50,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
St Martins Close,Fivehead,TA3 6PW,13:00,13:20,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Isle Brewers Garage,Isle Brewers,TA3 6QN,14:00,14:20,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Allen's Farm,Beercrocombe,TA3 6AG,14:40,15:00,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Slough,West Hatch,TA3 5RW,15:15,15:30,Q,2/2/2017,Thursday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Stockmoor School,North Petherton,TA6 6AH,9:30,10:00,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Gardens Children's Centre,Bridgwater,TA6 5HT,10:15,10:45,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
College Children's Centre,Bridgwater,TA6 4PZ,10:55,11:55,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Chedzoy Lane Pre-school,Chedzoy,TA7 8QW,12:05,12:25,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Stawell Village Hall,Stawell,TA7 9AE,12:35,12:55,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Tapmoor Road Junction,Moorlinch,TA7 9BZ,13:40,14:00,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Chapel,Henley,TA10 9BH,14:20,14:40,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Community Centre,Westonzoyland,TA7 0EX,15:00,15:30,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030
Main Road Bus Stop,Middlezoy,TA7 0NJ,15:40,16:00,R,3/2/2017,Friday,4,http://www:somerset:gov:uk/EasySiteWeb/GatewayLink:aspx?alId=118030